
state,Survey,Area,Population And Household Profile - Sex Ratio At Birth For Children Born In The Last Five Years (Females Per 1000 Males),Population And Household Profile - Children Under Age 5 Years Whose Birth Was Registered (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Stunted (Height-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Severely Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Underweight (Weight-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 3 Years Breastfed Within One Hour Of Birth (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 6 Months Exclusively Breastfed (%),Child Feeding Practices And Nutritional Status Of Children - Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Non-Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Children Age 6-8 Months Receiving Solid Or Semi-Solid Food And Breastmilk (%),Child Feeding Practices And Nutritional Status Of Children - Total Children Age 6-23 Months Receiving An Adequate Diet (%
West Bengal,NFHS-4,Urban,902,97.3,28.5,16.7,6,26.2,48.2,61.1,18,33,46.4,19.8
West Bengal,NFHS-3,Total,976,75.8,44.6,16.9,4.5,38.7,23.7,58.6,NA,NA,47.1,NA
Arunachal Pradesh,NFHS-4,Total,920,62.9,29.4,17.3,8,19.5,58.7,56.5,12.3,25.4,53.6,13.9
Arunachal Pradesh,NFHS-4,Rural,941,58.3,30.7,18.8,8.9,20.9,60.3,58.1,13.3,25.5,53.7,14.8
Arunachal Pradesh,NFHS-4,Urban,848,80,24,11.4,4.1,13.8,53.6,51.5,9.2,25,53.4,11.1
Arunachal Pradesh,NFHS-3,Total,1071,32.4,43.3,15.3,6.1,32.5,55,60,NA,NA,80.2,NA
Delhi,NFHS-4,Total,817,86.8,32.3,17.1,5,27,29.1,49.8,4.8,9.5,45,5.8
Delhi,NFHS-4,Rural,NA,89.5,25.1,0.6,0,1.3,NA,NA,NA,NA,NA,NA
Delhi,NFHS-4,Urban,811,86.8,32.4,17.2,5,27.3,29.3,49.8,4.6,9.7,45,5.6
Delhi,NFHS-3,Total,840,62.4,42.2,15.4,7,26.1,19.3,34.5,NA,NA,58.7,NA
Goa,NFHS-4,Total,966,98.9,20.1,21.9,9.5,23.8,73.3,60.9,9.1,15.1,NA,10.4
Goa,NFHS-4,Rural,1109,99,23.2,11.5,2.1,21.2,74.7,NA,8.6,NA,NA,8.2
Goa,NFHS-4,Urban,894,98.9,18.3,27.7,13.7,25.3,72.5,NA,9.3,NA,NA,11.5
Goa,NFHS-3,Total,921,94.7,25.6,14.1,5.6,25,59.7,17.7,NA,NA,66.8,NA
Himachal Pradesh,NFHS-4,Total,936,95.3,26.3,13.7,3.9,21.2,41.1,67.2,11.2,9.9,52.7,10.9
Himachal Pradesh,NFHS-4,Rural,920,95.1,26.7,13.3,3.8,21.6,40.8,67.5,10.5,10.3,52.8,10.5
Himachal Pradesh,NFHS-4,Urban,1151,97.7,21.4,19.2,6,17.1,44.3,NA,21.3,NA,NA,16.2
Himachal Pradesh,NFHS-3,Total,913,89,38.6,19.3,5.5,36.5,43.4,27.2,NA,NA,61.9,NA
Jammu & Kashmir,NFHS-4,Total,922,77.4,27.4,12.1,5.6,16.6,46,65.4,21.8,32.1,50,23.5
Jammu & Kashmir,NFHS-4,Rural,928,73.3,28.8,11,4.8,16.5,46.6,64.7,21.5,32.4,48.9,23.3
Jammu & Kashmir,NFHS-4,Urban,902,90.5,23,16.1,8.1,17,44.2,67.9,22.6,31.4,53.5,24
Jammu & Kashmir,NFHS-3,Total,902,35.8,35,14.8,4.4,25.6,31.9,42.3,NA,NA,52.7,NA
Manipur,NFHS-4,Total,962,64.8,28.9,6.8,2.2,13.8,65.4,73.6,19.3,14.1,78.8,18.8
Manipur,NFHS-4,Rural,962,59.7,31.4,7.1,2.4,14.2,66.1,71.3,18.4,7.5,78.8,17.3
Manipur,NFHS-4,Urban,962,74.8,24.1,6.4,1.8,13.1,64.2,78.9,21.2,34.1,78.6,22.1
Manipur,NFHS-3,Total,1014,30.4,35.6,9,2.1,22.2,57.2,62.1,NA,NA,77.4,NA
Meghalaya,NFHS-4,Total,1009,79.8,43.8,15.3,6.5,29,60.6,35.8,24.2,19.8,67.4,23.6
Meghalaya,NFHS-4,Rural,1030,78.4,45,15.5,6.5,29.9,61.4,36,24.1,16.9,66.2,23.1
Meghalaya,NFHS-4,Urban,891,89.2,36.5,13.7,6.5,22.9,55.8,34.7,24.9,31.8,75.7,26.6
Meghalaya,NFHS-3,Total,907,43.3,55.1,30.7,19.9,48.8,58.6,26.3,NA,NA,77.5,NA
Mizoram,NFHS-4,Total,946,97.9,28,6.1,2.3,11.9,70.2,60.6,14.7,13.6,67.9,14.6
Mizoram,NFHS-4,Rural,970,98,33.8,7.8,3.4,15.7,73.8,61.7,13.8,8.3,66.4,13.2
Mizoram,NFHS-4,Urban,926,97.8,22.7,4.5,1.2,8.5,67,59.8,15.6,18.4,69.6,16
Mizoram,NFHS-3,Total,1025,93.3,39.8,9,3.6,19.9,65.5,46.1,NA,NA,81.4,NA
Nagaland,NFHS-4,Total,956,68.3,28.6,11.2,4.2,16.8,53.2,44.5,17.5,21.4,70.7,18.6
Nagaland,NFHS-4,Rural,935,63.8,30.9,11.7,4.3,18,55,45.5,16.9,17.8,71.9,17.1
Nagaland,NFHS-4,Urban,1014,80.2,22.5,10.1,3.9,13.6,48.6,41.1,19.4,29,67.3,22.6
Nagaland,NFHS-3,Total,984,36.9,38.8,13.3,5.2,25.2,51.4,29.5,NA,NA,69,NA
Sikkim,NFHS-4,Total,809,98.5,29.6,14.2,5.9,14.2,66.5,54.6,23.1,NA,61.8,23.1
Sikkim,NFHS-4,Rural,911,98.4,32.9,14.7,6,15.4,68.9,48.6,25,NA,61.9,24.4
